query_idx,gt_score,n_at_top,difficulty
1,1.0,7,MEDIUM
2,1.0,18,HARD
3,1.0,2,MEDIUM
4,1.0,9,MEDIUM
5,1.0,34,HARD
6,1.0,12,HARD
7,1.0,8,MEDIUM
8,1.0,32,HARD
9,1.0,14,HARD
10,1.0,7,MEDIUM
11,1.0,4,MEDIUM
12,1.0,14,HARD
13,1.0,13,HARD
14,1.0,7,MEDIUM
15,1.0,4,MEDIUM
16,1.0,6,MEDIUM
17,1.0,14,HARD
18,1.0,2,MEDIUM
19,1.0,8,MEDIUM
20,1.0,7,MEDIUM
21,1.0,4,MEDIUM
22,1.0,11,HARD
23,1.0,1,EASY
24,1.0,52,HARD
25,1.0,5,MEDIUM
26,1.0,25,HARD
27,1.0,30,HARD
28,1.0,8,MEDIUM
29,1.0,11,HARD
30,1.0,12,HARD
31,1.0,17,HARD
32,1.0,5,MEDIUM
33,1.0,7,MEDIUM
34,1.0,7,MEDIUM
35,1.0,19,HARD
36,1.0,14,HARD
37,1.0,29,HARD
38,1.0,9,MEDIUM
39,1.0,19,HARD
40,1.0,20,HARD
41,1.0,14,HARD
42,1.0,5,MEDIUM
43,0.8,5,FAILED
44,1.0,22,HARD
45,1.0,18,HARD
46,1.0,7,MEDIUM
47,1.0,16,HARD
48,1.0,16,HARD
49,1.0,1,EASY
50,1.0,29,HARD
51,1.0,10,MEDIUM
52,1.0,12,HARD
53,1.0,26,HARD
54,1.0,5,MEDIUM
55,1.0,4,MEDIUM
56,1.0,12,HARD
57,1.0,13,HARD
58,1.0,25,HARD
59,1.0,11,HARD
60,1.0,15,HARD
61,1.0,5,MEDIUM
62,1.0,18,HARD
63,1.0,14,HARD
64,1.0,6,MEDIUM
65,1.0,2,MEDIUM
66,1.0,24,HARD
67,1.0,12,HARD
68,1.0,8,MEDIUM
69,1.0,12,HARD
70,1.0,8,MEDIUM
71,1.0,8,MEDIUM
72,1.0,24,HARD
73,1.0,5,MEDIUM
74,1.0,15,HARD
75,1.0,26,HARD
76,1.0,9,MEDIUM
77,1.0,9,MEDIUM
78,1.0,15,HARD
79,1.0,2,MEDIUM
80,1.0,16,HARD
81,1.0,16,HARD
82,1.0,7,MEDIUM
83,1.0,2,MEDIUM
84,1.0,16,HARD
85,1.0,3,MEDIUM
86,1.0,3,MEDIUM
87,0.6,26,FAILED
88,1.0,1,EASY
89,1.0,5,MEDIUM
90,1.0,18,HARD
91,1.0,13,HARD
92,1.0,6,MEDIUM
93,1.0,15,HARD
94,1.0,30,HARD
95,1.0,7,MEDIUM
96,1.0,15,HARD
97,1.0,7,MEDIUM
98,1.0,6,MEDIUM
99,1.0,19,HARD
100,1.0,5,MEDIUM
101,1.0,14,HARD
102,1.0,2,MEDIUM
103,1.0,20,HARD
104,1.0,28,HARD
105,1.0,7,MEDIUM
106,1.0,18,HARD
107,0.1,3,FAILED
108,1.0,3,MEDIUM
109,1.0,12,HARD
110,1.0,4,MEDIUM
111,1.0,1,EASY
112,1.0,9,MEDIUM
113,1.0,15,HARD
114,1.0,5,MEDIUM
115,1.0,11,HARD
116,1.0,3,MEDIUM
117,1.0,4,MEDIUM
118,1.0,10,MEDIUM
119,1.0,2,MEDIUM
120,1.0,18,HARD
121,1.0,10,MEDIUM
122,1.0,9,MEDIUM
123,1.0,15,HARD
124,1.0,19,HARD
125,1.0,9,MEDIUM
126,1.0,4,MEDIUM
127,1.0,7,MEDIUM
128,1.0,17,HARD
129,1.0,2,MEDIUM
130,1.0,13,HARD
131,1.0,14,HARD
132,1.0,11,HARD
133,1.0,3,MEDIUM
134,1.0,10,MEDIUM
135,1.0,30,HARD
136,1.0,8,MEDIUM
137,1.0,8,MEDIUM
138,1.0,4,MEDIUM
139,1.0,13,HARD
140,0.8,8,FAILED
141,1.0,8,MEDIUM
142,1.0,8,MEDIUM
143,1.0,2,MEDIUM
144,1.0,6,MEDIUM
145,1.0,8,MEDIUM
146,1.0,23,HARD
147,1.0,3,MEDIUM
148,1.0,14,HARD
149,1.0,7,MEDIUM
150,1.0,23,HARD
151,1.0,10,MEDIUM
152,1.0,4,MEDIUM
153,1.0,23,HARD
154,1.0,4,MEDIUM
155,1.0,9,MEDIUM
156,1.0,11,HARD
157,1.0,9,MEDIUM
158,1.0,18,HARD
159,1.0,12,HARD
160,1.0,8,MEDIUM
161,1.0,11,HARD
162,1.0,2,MEDIUM
163,1.0,4,MEDIUM
164,1.0,22,HARD
165,1.0,5,MEDIUM
166,1.0,5,MEDIUM
167,1.0,9,MEDIUM
168,1.0,11,HARD
169,1.0,2,MEDIUM
170,1.0,14,HARD
171,1.0,16,HARD
172,1.0,15,HARD
173,1.0,6,MEDIUM
174,1.0,9,MEDIUM
175,1.0,13,HARD
176,1.0,6,MEDIUM
177,1.0,13,HARD
178,1.0,5,MEDIUM
179,1.0,7,MEDIUM
180,1.0,1,EASY
181,1.0,6,MEDIUM
182,1.0,3,MEDIUM
183,1.0,2,MEDIUM
184,1.0,4,MEDIUM
185,1.0,14,HARD
186,1.0,5,MEDIUM
187,1.0,1,EASY
188,1.0,2,MEDIUM
189,1.0,4,MEDIUM
190,1.0,40,HARD
191,1.0,8,MEDIUM
192,1.0,15,HARD
193,1.0,15,HARD
194,1.0,15,HARD
195,1.0,9,MEDIUM
196,1.0,3,MEDIUM
197,1.0,12,HARD
198,1.0,5,MEDIUM
199,1.0,13,HARD
