threshold,n_docs_kept,avg_pool_size,precision,recall,f1
0.1,1004140,5045.929648241206,0.00019817953671798753,1.0,0.0003962805387423967
0.2,172776,868.2211055276382,0.0011459924989581885,0.9949748743718593,0.0022893481717011126
0.3,51168,257.1256281407035,0.003869606003752345,0.9949748743718593,0.0077092296610664435
0.4,51076,256.66331658291455,0.00387657608270029,0.9949748743718593,0.00772306192101414
0.5,12968,65.16582914572864,0.01526835286859963,0.9949748743718593,0.030075187969924814
0.6,12924,64.94472361809045,0.01532033426183844,0.9949748743718593,0.03017602682313495
0.7,4184,21.025125628140703,0.04708413001912046,0.9899497487437185,0.08989276751083732
0.8,4169,20.949748743718594,0.047253538018709525,0.9899497487437185,0.0902014652014652
0.9,2217,11.140703517587939,0.08795669824086604,0.9798994974874372,0.16142384105960264
1.0,2216,11.135678391959798,0.08799638989169675,0.9798994974874372,0.16149068322981366
