query,epsilon,jaccard_similarity,recall_at_k,avg_score_diff,std_score_diff
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.001,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.005,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.01,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.025,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.05,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.075,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.1,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.15,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.25,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.4,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.6,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,0.8,0.0,0.0,0.0,0.0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,1.0,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.001,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.005,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.01,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.025,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.05,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.075,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.1,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.15,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.25,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.4,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.6,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,0.8,0.0,0.0,0.0,0.0
What is in front of the Notre Dame Main Building?,1.0,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.001,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.005,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.01,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.025,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.05,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.075,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.1,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.15,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.25,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.4,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.6,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,0.8,0.0,0.0,0.0,0.0
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,1.0,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.001,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.005,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.01,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.025,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.05,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.075,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.1,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.15,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.25,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.4,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.6,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,0.8,0.0,0.0,0.0,0.0
What is the Grotto at Notre Dame?,1.0,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.001,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.005,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.01,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.025,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.05,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.075,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.1,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.15,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.25,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.4,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.6,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,0.8,0.0,0.0,0.0,0.0
What sits on top of the Main Building at Notre Dame?,1.0,0.0,0.0,0.0,0.0
